,SAR,Infections,Reff_1,Reff_2,Excess,n
181,0.577312273,0.014885539,0.17321648,0.346432961,2.337760026,18000
182,0.580257486,0.014959603,0.172337285,0.344674571,2.327855788,18100
183,0.583205117,0.015033604,0.17146626,0.342932519,2.318036939,18200
184,0.586155176,0.015107544,0.170603287,0.341206575,2.308302316,18300
185,0.589107673,0.015181421,0.169748256,0.339496512,2.298650774,18400
186,0.592062616,0.015255237,0.168901054,0.337802108,2.289081193,18500
187,0.595020017,0.015328992,0.168061573,0.336123146,2.279592471,18600
188,0.597979883,0.015402686,0.167229706,0.334459412,2.270183528,18700
189,0.600942226,0.015476319,0.166405348,0.332810695,2.260853304,18800
190,0.603907052,0.015549892,0.165588396,0.331176792,2.251600756,18900
191,0.606874372,0.015623405,0.164778749,0.329557499,2.242424863,19000
192,0.609844195,0.015696857,0.163976309,0.327952618,2.233324621,19100
193,0.612816529,0.01577025,0.163180977,0.326361954,2.224299045,19200
194,0.615791382,0.015843583,0.162392659,0.324785318,2.215347165,19300
195,0.618768765,0.015916857,0.16161126,0.323222521,2.206468032,19400
196,0.621748684,0.015990072,0.160836689,0.321673379,2.197660712,19500
197,0.624731149,0.016063228,0.160068855,0.320137711,2.188924287,19600
198,0.627716168,0.016136325,0.15930767,0.318615339,2.180257855,19700
199,0.630703749,0.016209364,0.158553045,0.31710609,2.171660532,19800
200,0.6336939,0.016282345,0.157804896,0.315609792,2.163131447,19900
201,0.636686629,0.016355268,0.157063138,0.314126277,2.154669745,20000
202,0.639681943,0.016428134,0.156327689,0.312655378,2.146274586,20100
203,0.642679852,0.016500942,0.155598467,0.311196935,2.137945143,20200
204,0.645680362,0.016573693,0.154875393,0.309750786,2.129680606,20300
205,0.648683482,0.016646387,0.154158388,0.308316776,2.121480175,20400
206,0.651689218,0.016719024,0.153447375,0.306894751,2.113343067,20500
207,0.654697578,0.016791605,0.152742279,0.305484558,2.105268509,20600
208,0.65770857,0.016864129,0.152043024,0.304086048,2.097255744,20700
209,0.660722201,0.016936597,0.151349538,0.302699076,2.089304026,20800
