"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"26","CYP","Cyprus","Asia","Western Asia",2022-05-01,0,0,0,0,2022-08-02,12765.1776,1251.488,0
"27","CZE","Czech Republic","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-05-24,111094.883774052,10493.986,0
"28","COD","Democratic Republic Of The Congo","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-05-08,194900,99010.212,0
"29","DNK","Denmark","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-23,50000,5882.261,0
"30","DOM","Dominican Republic","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-06,142000,11228.821,0
"31","ECU","Ecuador","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-06,89400,18001,0
"32","EGY","Egypt","Africa","Northern Africa",2022-05-01,0,0,0,0,2022-09-07,64300,110990.103,0
"33","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-30,54100,6336.392,0
"34","EST","Estonia","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-06-28,9000,1326.062,0
"35","FIN","Finland","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-27,58159.5605503088,5540.745,0
"36","FRA","France","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-19,330000,64626.628,0
"37","GEO","Georgia","Asia","Western Asia",2022-05-01,0,0,0,0,2022-06-15,18500,3744.385,0
"38","DEU","Germany","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-19,750000,83369.843,0
"39","GHA","Ghana","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-06-08,54800,33475.87,0
"40","GIB","Gibraltar","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-06-01,235.82739112419,32.649,0
"41","GRC","Greece","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-06-08,94000,10384.971,0
"42","GRL","Greenland","Americas","Northern America",2022-05-01,0,0,0,0,2022-08-09,632.382709978253,56.466,0
"43","GLP","Guadeloupe","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-25,13336.8424,395.752,0
"44","GUM","Guam","Oceania","Micronesia",2022-05-01,0,0,0,0,2022-09-11,2799.9162,171.774,0
"45","GTM","Guatemala","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-03,116500,17843.908,0
"46","GUY","Guyana","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-22,3300,808.726,0
"47","HND","Honduras","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-13,40900,10432.86,0
"48","HKG","Hong Kong","Asia","Eastern Asia",2022-05-01,0,0,0,0,2022-09-06,122068.4995,7488.865,0
"49","HUN","Hungary","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-05-31,210310.1988,9967.308,0
"50","ISL","Iceland","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-06-15,3914.21044817071,372.899,0
"51","IND","India","Asia","Southern Asia",2022-05-01,0,0,0,0,2022-07-14,238200,1417173.173,0
