,SAR,Infections,Reff_1,Reff_2,n
1288,5.275419408,0.062811212,0.018955839,0.037911678,128700
1289,5.281346143,0.062850571,0.018934567,0.037869133,128800
1290,5.287276449,0.062889923,0.018913329,0.037826658,128900
1291,5.293210329,0.062929266,0.018892127,0.037784253,129000
1292,5.299147783,0.062968601,0.018870959,0.037741918,129100
1293,5.305088812,0.063007927,0.018849826,0.037699652,129200
1294,5.31103342,0.063047245,0.018828727,0.037657455,129300
1295,5.316981606,0.063086555,0.018807663,0.037615327,129400
1296,5.322933372,0.063125857,0.018786634,0.037573268,129500
1297,5.32888872,0.06316515,0.018765639,0.037531277,129600
1298,5.334847651,0.063204435,0.018744678,0.037489355,129700
1299,5.340810166,0.063243711,0.018723751,0.037447502,129800
1300,5.346776268,0.06328298,0.018702859,0.037405717,129900
1301,5.352745957,0.06332224,0.018682,0.037364,130000
1302,5.358719235,0.063361492,0.018661175,0.037322351,130100
1303,5.364696104,0.063400735,0.018640385,0.03728077,130200
1304,5.370676564,0.063439971,0.018619628,0.037239256,130300
1305,5.376660617,0.063479198,0.018598905,0.03719781,130400
1306,5.382648265,0.063518417,0.018578216,0.037156431,130500
1307,5.388639509,0.063557627,0.01855756,0.03711512,130600
1308,5.394634351,0.06359683,0.018536938,0.037073875,130700
1309,5.400632792,0.063636024,0.018516349,0.037032697,130800
1310,5.406634833,0.06367521,0.018495793,0.036991586,130900
1311,5.412640476,0.063714388,0.018475271,0.036950542,131000
1312,5.418649722,0.063753557,0.018454782,0.036909564,131100
1313,5.424662574,0.063792719,0.018434326,0.036868653,131200
1314,5.430679031,0.063831872,0.018413904,0.036827807,131300
1315,5.436699097,0.063871017,0.018393514,0.036787028,131400
1316,5.442722771,0.063910154,0.018373157,0.036746314,131500
1317,5.448750056,0.063949282,0.018352833,0.036705666,131600
1318,5.454780953,0.063988403,0.018332542,0.036665084,131700
1319,5.460815464,0.064027515,0.018312283,0.036624567,131800
1320,5.466853589,0.064066619,0.018292057,0.036584115,131900
1321,5.472895331,0.064105715,0.018271864,0.036543728,132000
1322,5.478940691,0.064144803,0.018251703,0.036503407,132100
1323,5.48498967,0.064183883,0.018231575,0.03646315,132200
1324,5.49104227,0.064222954,0.018211479,0.036422958,132300
1325,5.497098493,0.064262018,0.018191415,0.03638283,132400
1326,5.503158339,0.064301073,0.018171383,0.036342767,132500
1327,5.50922181,0.064340121,0.018151384,0.036302768,132600
1328,5.515288907,0.06437916,0.018131416,0.036262833,132700
1329,5.521359633,0.064418191,0.018111481,0.036222962,132800
1330,5.527433988,0.064457214,0.018091577,0.036183155,132900
1331,5.533511974,0.064496228,0.018071706,0.036143411,133000
1332,5.539593593,0.064535235,0.018051866,0.036103732,133100
