"","location","iso_code","date","new_cases","date_import","import_low","import_upp","total_cases"
"80","Andorra","AND",2022-07-05,0,2022-06-20,NA,NA,2
"81","Andorra","AND",2022-07-06,0,2022-06-20,NA,NA,2
"82","Andorra","AND",2022-07-07,0,2022-06-20,NA,NA,2
"83","Andorra","AND",2022-07-08,1,2022-06-20,NA,NA,3
"84","Andorra","AND",2022-07-09,0,2022-06-20,NA,NA,3
"85","Andorra","AND",2022-07-10,0,2022-06-20,NA,NA,3
"86","Andorra","AND",2022-07-11,0,2022-06-20,NA,NA,3
"87","Andorra","AND",2022-07-12,0,2022-06-20,NA,NA,3
"88","Andorra","AND",2022-07-13,1,2022-06-20,NA,NA,4
"89","Andorra","AND",2022-07-14,0,2022-06-20,NA,NA,4
"90","Andorra","AND",2022-07-15,0,2022-06-20,NA,NA,4
"91","Andorra","AND",2022-07-16,0,2022-06-20,NA,NA,4
"92","Andorra","AND",2022-07-17,0,2022-06-20,NA,NA,4
"93","Andorra","AND",2022-07-18,0,2022-06-20,NA,NA,4
"94","Andorra","AND",2022-07-19,0,2022-06-20,NA,NA,4
"95","Andorra","AND",2022-07-20,0,2022-06-20,NA,NA,4
"96","Andorra","AND",2022-07-21,0,2022-06-20,NA,NA,4
"97","Andorra","AND",2022-07-22,0,2022-06-20,NA,NA,4
"98","Andorra","AND",2022-07-23,0,2022-06-20,NA,NA,4
"99","Andorra","AND",2022-07-24,0,2022-06-20,NA,NA,4
"100","Andorra","AND",2022-07-25,0,2022-06-20,NA,NA,4
"101","Andorra","AND",2022-07-26,0,2022-06-20,NA,NA,4
"102","Andorra","AND",2022-07-27,0,2022-06-20,NA,NA,4
"103","Andorra","AND",2022-07-28,0,2022-06-20,NA,NA,4
"104","Andorra","AND",2022-07-29,0,2022-06-20,NA,NA,4
"105","Andorra","AND",2022-07-30,0,2022-06-20,NA,NA,4
"106","Andorra","AND",2022-07-31,0,2022-06-20,NA,NA,4
"107","Andorra","AND",2022-08-01,0,2022-06-20,NA,NA,4
"108","Andorra","AND",2022-08-02,0,2022-06-20,NA,NA,4
"109","Andorra","AND",2022-08-03,0,2022-06-20,NA,NA,4
"110","Andorra","AND",2022-08-04,0,2022-06-20,NA,NA,4
"111","Andorra","AND",2022-08-05,0,2022-06-20,NA,NA,4
"112","Andorra","AND",2022-08-06,0,2022-06-20,NA,NA,4
"113","Andorra","AND",2022-08-07,0,2022-06-20,NA,NA,4
"114","Andorra","AND",2022-08-08,0,2022-06-20,NA,NA,4
"115","Andorra","AND",2022-08-09,0,2022-06-20,NA,NA,4
"116","Andorra","AND",2022-08-10,0,2022-06-20,NA,NA,4
"117","Andorra","AND",2022-08-11,0,2022-06-20,NA,NA,4
"118","Andorra","AND",2022-08-12,0,2022-06-20,NA,NA,4
"119","Andorra","AND",2022-08-13,0,2022-06-20,NA,NA,4
"120","Andorra","AND",2022-08-14,0,2022-06-20,NA,NA,4
"121","Andorra","AND",2022-08-15,0,2022-06-20,NA,NA,4
"122","Andorra","AND",2022-08-16,0,2022-06-20,NA,NA,4
"123","Andorra","AND",2022-08-17,0,2022-06-20,NA,NA,4
"124","Andorra","AND",2022-08-18,0,2022-06-20,NA,NA,4
"125","Andorra","AND",2022-08-19,0,2022-06-20,NA,NA,4
"126","Andorra","AND",2022-08-20,0,2022-06-20,NA,NA,4
"127","Andorra","AND",2022-08-21,0,2022-06-20,NA,NA,4
"128","Andorra","AND",2022-08-22,0,2022-06-20,NA,NA,4
"129","Andorra","AND",2022-08-23,0,2022-06-20,NA,NA,4
"130","Andorra","AND",2022-08-24,0,2022-06-20,NA,NA,4
"131","Andorra","AND",2022-08-25,0,2022-06-20,NA,NA,4
"132","Andorra","AND",2022-08-26,0,2022-06-20,NA,NA,4
"133","Andorra","AND",2022-08-27,0,2022-06-20,NA,NA,4
"134","Andorra","AND",2022-08-28,0,2022-06-20,NA,NA,4
"135","Andorra","AND",2022-08-29,0,2022-06-20,NA,NA,4
"136","Andorra","AND",2022-08-30,0,2022-06-20,NA,NA,4
"137","Andorra","AND",2022-08-31,0,2022-06-20,NA,NA,4
"138","Andorra","AND",2022-09-01,0,2022-06-20,NA,NA,4
"139","Andorra","AND",2022-09-02,0,2022-06-20,NA,NA,4
"140","Andorra","AND",2022-09-03,0,2022-06-20,NA,NA,4
"141","Andorra","AND",2022-09-04,0,2022-06-20,NA,NA,4
"142","Andorra","AND",2022-09-05,0,2022-06-20,NA,NA,4
"143","Andorra","AND",2022-09-06,0,2022-06-20,NA,NA,4
"144","Andorra","AND",2022-09-07,0,2022-06-20,NA,NA,4
