"","sub_region","location","iso_code","estimate","MSM_size","region","pop2022","MSM_percent","imputed","prop","prop_med"
"218","Western Asia","Lebanon","LBN",16.5,55.9953378,"Asia",5489.739,1.02,16.5,0.300560737040504,1.02
"219","Western Asia","Jordan","JOR",NA,115.1158638,"Asia",11285.869,1.02,115.1158638,1.02,1.02
"220","Western Asia","Saudi Arabia","SAU",NA,371.369964,"Asia",36408.82,1.02,371.369964,1.02,1.02
"221","Western Asia","Cyprus","CYP",NA,12.7651776,"Asia",1251.488,1.02,12.7651776,1.02,1.02
"222","Western Asia","Palestine, State of","PSE",NA,NA,"Asia",5250.072,1.02,53.5507344,1.02,1.02
"223","Western Asia","Israel","ISR",NA,92.1907518,"Asia",9038.309,1.02,92.1907518,1.02,1.02
"224","Western Asia","Iraq","IRQ",NA,453.8604444,"Asia",44496.122,1.02,453.8604444,1.02,1.02
"225","Western Asia","Syrian Arab Republic","SYR",10,NA,"Asia",22125.249,1.02,10,0.0451972314526268,1.02
"226","Western Europe","Belgium","BEL",NA,NA,"Europe",11655.93,NA,105.771051802032,0.907444123309185,0.907444123309185
"227","Western Europe","Netherlands","NLD",230,NA,"Europe",17564.014,NA,230,1.30949565401166,0.907444123309185
"228","Western Europe","Switzerland","CHE",80,NA,"Europe",8740.472,NA,80,0.915282378342954,0.907444123309185
"229","Western Europe","Germany","DEU",750,NA,"Europe",83369.843,NA,750,0.899605868275415,0.907444123309185
"230","Western Europe","Liechtenstein","LIE",NA,NA,"Europe",39.327,NA,0.356870550373803,0.907444123309185,0.907444123309185
"231","Western Europe","Monaco","MCO",NA,NA,"Europe",36.469,NA,0.330935797329627,0.907444123309185,0.907444123309185
"232","Western Europe","Luxembourg","LUX",NA,NA,"Europe",647.599,NA,5.87659906810905,0.907444123309185,0.907444123309185
"233","Western Europe","France","FRA",330,NA,"Europe",64626.628,NA,330,0.510625434457141,0.907444123309185
"234","Western Europe","Austria","AUT",NA,NA,"Europe",8939.617,NA,81.1220291128488,0.907444123309185,0.907444123309185
