"","sub_region","location","iso_code","estimate","MSM_size","region","pop2022","prop","imputed","prop_avg"
"50","Latin America and the Caribbean","Barbados","BRB",2.6,9.4910995,"Americas",281.635,0.00923180712624496,2.6,0.0158483998336781
"51","Latin America and the Caribbean","Brazil","BRA",2000,7256.0648826,"Americas",215313.498,0.00928878132851662,2000,0.0158483998336781
"52","Latin America and the Caribbean","Martinique","MTQ",NA,12.3849859,"Americas",367.507,0.0337,12.3849859,0.0158483998336781
"53","Latin America and the Caribbean","Saint Barthélemy","BLM",NA,NA,"Americas",10.967,0.0158483998336781,0.173809400975948,0.0158483998336781
"54","Latin America and the Caribbean","Belize","BLZ",NA,13.6576664,"Americas",405.272,0.0337,13.6576664,0.0158483998336781
"55","Latin America and the Caribbean","Guadeloupe","GLP",NA,13.3368424,"Americas",395.752,0.0337,13.3368424,0.0158483998336781
"56","Latin America and the Caribbean","Mexico","MEX",1200,4296.8890125,"Americas",127504.125,0.00941146021746355,1200,0.0158483998336781
"57","Latin America and the Caribbean","Saint Lucia","LCA",3,6.0611809,"Americas",179.857,0.0166799179348038,3,0.0158483998336781
"58","Latin America and the Caribbean","El Salvador","SLV",54.1,213.5364104,"Americas",6336.392,0.00853798186728346,54.1,0.0158483998336781
"59","Latin America and the Caribbean","Saint Kitts and Nevis","KNA",NA,1.6060409,"Americas",47.657,0.0337,1.6060409,0.0158483998336781
"60","Latin America and the Caribbean","Sint Maarten (Dutch part)","SXM",NA,NA,"Americas",44.175,0.0158483998336781,0.700103062652731,0.0158483998336781
"61","Latin America and the Caribbean","Puerto Rico","PRI",NA,109.6061159,"Americas",3252.407,0.0337,109.6061159,0.0158483998336781
"62","Latin America and the Caribbean","Virgin Islands (U.S.)","VIR",NA,NA,"Americas",99.465,0.0158483998336781,1.57636108945679,0.0158483998336781
"63","Latin America and the Caribbean","Chile","CHL",122.6,660.6458021,"Americas",19603.733,0.00625391092604658,122.6,0.0158483998336781
"64","Latin America and the Caribbean","Jamaica","JAM",42.4,95.2826049,"Americas",2827.377,0.0149962314894689,42.4,0.0158483998336781
"65","Latin America and the Caribbean","Grenada","GRD",2.4,4.2272606,"Americas",125.438,0.0191329581147659,2.4,0.0158483998336781
"66","Latin America and the Caribbean","Saint Vincent and the Grenadines","VCT",0.3,3.5030476,"Americas",103.948,0.0028860584138223,0.3,0.0158483998336781
"67","Latin America and the Caribbean","Colombia","COL",356.7,1748.1546088,"Americas",51874.024,0.00687627395167955,356.7,0.0158483998336781
"68","Latin America and the Caribbean","Dominica","DMA",0.5,2.4512369,"Americas",72.737,0.00687408059172086,0.5,0.0158483998336781
"69","Latin America and the Caribbean","Trinidad and Tobago","TTO",NA,51.5961828,"Americas",1531.044,0.0337,51.5961828,0.0158483998336781
"70","Latin America and the Caribbean","Nicaragua","NIC",35.5,234.1608104,"Americas",6948.392,0.00510909574474209,35.5,0.0158483998336781
"71","Latin America and the Caribbean","Paraguay","PRY",27.7,228.5110728,"Americas",6780.744,0.00408509744653389,27.7,0.0158483998336781
"72","Latin America and the Caribbean","Haiti","HTI",30.9,390.4143652,"Americas",11584.996,0.00266724304436532,30.9,0.0158483998336781
"73","Latin America and the Caribbean","Suriname","SUR",1.3,20.827948,"Americas",618.04,0.00210342372661964,1.3,0.0158483998336781
"74","Latin America and the Caribbean","Turks and Caicos Islands","TCA",NA,1.5401911,"Americas",45.703,0.0337,1.5401911,0.0158483998336781
"75","Melanesia","New Caledonia","NCL",NA,4.726185,"Oceania",289.95,0.0163,4.726185,0.0105805974070543
"76","Melanesia","Solomon Islands","SLB",0.2,11.8056499,"Oceania",724.273,0.00027613896969789,0.2,0.0105805974070543
"77","Melanesia","Papua New Guinea","PNG",37.8,165.3246897,"Oceania",10142.619,0.0037268480655736,37.8,0.0105805974070543
"78","Melanesia","Vanuatu","VUT",NA,5.325862,"Oceania",326.74,0.0163,5.325862,0.0105805974070543
"79","Melanesia","Fiji","FJI",NA,15.1551858,"Oceania",929.766,0.0163,15.1551858,0.0105805974070543
