"","iso_code","location","date","new_cases","total_cases","date_import","imputed","pop2022","region","sub_region"
"1","ABW","Aruba","2022/08/26",0,1,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"2","ABW","Aruba","2022/09/04",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"3","ABW","Aruba","2022/08/27",0,1,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"4","ABW","Aruba","2022/09/08",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"5","ABW","Aruba","2022/09/05",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"6","ABW","Aruba","2022/08/23",0,0,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"7","ABW","Aruba","2022/09/07",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"8","ABW","Aruba","2022/09/09",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"9","ABW","Aruba","2022/09/02",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"10","ABW","Aruba","2022/09/06",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"11","ABW","Aruba","2022/09/11",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"12","ABW","Aruba","2022/08/28",0,1,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"13","ABW","Aruba","2022/09/03",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"14","ABW","Aruba","2022/09/10",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"15","ABW","Aruba","2022/08/24",1,1,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"16","ABW","Aruba","2022/09/01",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"17","ABW","Aruba","2022/09/12",0,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"18","ABW","Aruba","2022/08/30",1,2,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"19","ABW","Aruba","2022/08/25",0,1,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"20","ABW","Aruba","2022/08/21",0,0,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"21","ABW","Aruba","2022/08/22",0,0,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
"22","ABW","Aruba","2022/08/29",0,1,"2022/08/21",3.5871965,106.445,"Americas","Latin America and the Caribbean"
