country,iso3,who_region,who_region_long,reference_date,date_type,cases
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-05-28,Onset,1
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-08-12,Onset,1
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-08-14,Onset,1
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-09-01,Onset,1
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-09-02,Onset,1
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-09-07,Onset,1
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-09-13,Onset,2
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-09-18,Onset,1
Venezuela (Bolivarian Republic of),VEN,AMRO,Region of the Americas,2022-09-27,Onset,1
